name,type,city,district,neighborhood,landAddress,streetAddress,longtitude,latitude
연주방어페어,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-39,서울특별시 마포구 동교로46길 13,126.9256189,37.56238308
아꽁뜨,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 225-50,서울특별시 마포구 동교로51길 3,126.9263365,37.56443497
아우프글렛,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 223-45,서울특별시 마포구 성미산로31길 11,126.9253621,37.56449818
마스네서울,피자,서울특별시,마포구,연남동,서울특별시 마포구 연남동 488-6,서울특별시 마포구 성미산로 109,126.9190458,37.56216089
이억만껍데기,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 229-59,서울특별시 마포구 동교로 255,126.9244943,37.56266117
유부,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 225-12,서울특별시 마포구 동교로 277,126.9262155,37.56419058
양식구옥,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-25,서울특별시 마포구 동교로38길 27,126.9255603,37.5617338
팜팜발리,베트남식 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-40,서울특별시 마포구 성미산로 185,126.9260805,37.56334238
복카츠,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 381-5,서울특별시 마포구 동교로34길 21,126.9255505,37.56084168
마음,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-13,서울특별시 마포구 동교로51길 77-11,126.9226531,37.56554573
연남주점,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-422,서울특별시 마포구 연남로13길 1,126.9171324,37.56689182
사심연남,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-2,서울특별시 마포구 성미산로 190-4,126.9260311,37.56284636
열정타코,기타 서양식 음식점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-52,서울특별시 마포구 성미산로29길 42,126.9218922,37.56571899
게슈탈트커피,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-26,서울특별시 마포구 동교로 260,126.9251366,37.56286525
어반루프,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-71,서울특별시 마포구 동교로38길 13,126.9249898,37.56205298
리스본캔어리,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 515-2,서울특별시 마포구 연남로5길 9,126.9214021,37.56202927
얼스어스,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 239-49,서울특별시 마포구 성미산로 150,126.9232509,37.56411853
가나슈블랫,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 493-16,서울특별시 마포구 동교로27길 93-7,126.919465,37.5613538
물레방아,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 223-14,서울특별시 마포구 성미산로 161-10,126.9238573,37.56524135
카페늘보,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 223-8,서울특별시 마포구 동교로51안길 26,126.9240145,37.56533288
프런티어,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-287,서울특별시 마포구 성미산로17길 4-2,126.9184286,37.56179482
이리,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-2,서울특별시 마포구 동교로38길 12,126.924947,37.56188139
스트로베리32연남점,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 509-28,서울특별시 마포구 연남로5길 8,126.9213312,37.56223586
모바면가,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 382-19,서울특별시 마포구 동교로38길 42,126.9256607,37.56104992
코코로카라,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 568-15,서울특별시 마포구 연남로1길 41,126.9209363,37.55979044
테누,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-88,서울특별시 마포구 성미산로29안길 19-4,126.9233205,37.56557885
아르봉봉,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-99,서울특별시 마포구 연희로1길 59-2,126.926468,37.56157987
