,title,link,view,upload_date,video_pk
148,#떡볶이 #모래내시장 #밀떡 #떡볶이맛집 #가좌역 #연남동 #연남동맛집 #tteokbokki #홍대 #トッポッキ #신흥떡볶이 #맛집 #맛집추천 #rainyday #today,https://www.youtube.com/shorts/jxnzWBwDiaA,651회,1년 전,jxnzWBwDiaA
149,연남동맛집/연남동 디저트 추천/크림빵 맛집/딸기크림 패스트리/딸기라떼 아이스아메리카노/필엣필즈/fille et fils/tourbillon/뚜르비옹,https://www.youtube.com/shorts/41878aU3SKY,20회,1년 전,41878aU3SKY
150,연트럴파크 분위기 맛집 [ 연남동 느루 ] 후기 #연남동데이트 #연남동맛집,https://www.youtube.com/shorts/H7RCGAwTqDY,199회,1년 전,H7RCGAwTqDY
151,맛있는 인생 디저트는 꼭 연남동 🌿라프하우스..#라프하우스 #연남동맛집 #연남동카페 #연남동 #연남동데이트 #연남동핫플,https://www.youtube.com/shorts/yKh8BXLPcfs,116회,5개월 전,yKh8BXLPcfs
152,#모래내시장 #밀떡 #떡볶이 #떡볶이맛집 #가좌역 #연남동맛집 #떡볶이추천 #연남동 #tteokbokki #홍대 #신흥떡볶이 #옛날떡볶이 #학교앞떡볶이 #추억의맛 #1977,https://www.youtube.com/shorts/gMlrjUg_uIw,906회,1년 전,gMlrjUg_uIw
153,"아귀간, 연남동맛집 이지키친",https://www.youtube.com/shorts/HZMrztDOv8U,328회,1년 전,HZMrztDOv8U
154,#신흥떡볶이 #모래내시장 #가좌역 #떡볶이맛집 #연남동맛집 #서울4대떡볶이 #콩나물떡볶이 #밀떡 #콩나물국 #홍대맛집 #모래내떡볶이 #모래내맛집 #tteokbokki #トッポッキ,https://www.youtube.com/shorts/GWlwXFrLHfY,195회,1년 전,GWlwXFrLHfY
155,"[연남동/성산동] 누시즈(Nusiz) , 홍대 빵집/홍대 맛집/연남동 빵집/연남동 맛집",https://www.youtube.com/shorts/Iaywb-d1_RQ,546회,1년 전,Iaywb-d1_RQ
156,[연남동 베이커리] 연남동 빵집은 무조건 여기 #연남동카페 #연남동맛집,https://www.youtube.com/shorts/raycn-uB9XU,1.1천회,11개월 전,raycn-uB9XU
157,홍대입구역 연남동 맛집 월강부산돼지국밥 #연남동맛집 #돼지국밥맛집,https://www.youtube.com/shorts/kUX4zDogB80,273회,4개월 전,kUX4zDogB80
158,갈비 진짜 맛있어🥲 #연남 #연남동 #연남동맛집 #육미안 #맛집추천 #shorts,https://www.youtube.com/shorts/SrWXqk6QSFc,2천회,2주 전,SrWXqk6QSFc
159,봄브레드🧁 빵카로드2 연남동 맛집 | 랜디스도넛🍩 | 유지어터 빵순이 [20230607] #홍대맛집 #빵리뷰 #쇼츠 #shorts,https://www.youtube.com/shorts/Js0VrdrRenk,2.6만회,1년 전,Js0VrdrRenk
160,🚨돈파스의 원조📢 진짜 돈파스는 연남동에 있는'돈파스팔레'에서만 드실수있어요.유사상품에 주의하세요#백종원3대천왕#서울3대돈가스#연남동맛집#연남동돈까스맛집#연남동돈가스#홍대돈까스맛집,https://www.youtube.com/shorts/DiKmNxuX9b4,436회,11일 전,DiKmNxuX9b4
161,#유니의우아한식탁 #연남동맛집 #홍대맛집 #연남맛집 #연남동맛집추천 #홍대맛집추천 #연남동데이트 #홍대데이트 #연남동파스타 #연남동레스토랑,https://www.youtube.com/shorts/2D8foj1vi-w,63회,1개월 전,2D8foj1vi-w
162,3000원 제육볶음 정식 맛집💛 #삶천식당 #연남동맛집 #마포구맛집 #가성비맛집 #홍대맛집 #합정맛집 #합정역맛집 #홍대데이트 #합정데이트 #홍대입구역맛집 #서교동맛집,https://www.youtube.com/shorts/Xg8KS_kNAUs,5.2천회,1년 전,Xg8KS_kNAUs
163,"열운하고 연남동 맛집,카페투어🩵열일하는 토요일💚#연남동 #운동하는여자 #패션브이로그 #seoullife",https://www.youtube.com/shorts/0NjKe29GIFY,236회,1년 전,0NjKe29GIFY
164,분명 소자로 주문했는데?? #평화연남 #연남동 #연남동맛집,https://www.youtube.com/shorts/nCB_U2nY-ME,6.2천회,4주 전,nCB_U2nY-ME
165,연남동 '또간집'_또 갈만하네.. #연남동맛집 #카쿠시타 #낮술 #또간집,https://www.youtube.com/shorts/aSHxVvTK9Ro,6.6천회,1년 전,aSHxVvTK9Ro
166,연남동 초밥 맛집!!,https://www.youtube.com/shorts/N5iiYGDb0YI,32회,11개월 전,N5iiYGDb0YI
167,홍대 연남동 맛집 '살롱드 마르잔' 분위기 좋은 와인바 wine bar 🥂 #shorts,https://www.youtube.com/shorts/lFgNJ7aFCs8,2.1천회,1년 전,lFgNJ7aFCs8
168,연남동으로 떠나는 일본 여행 카레빵 맛집 이색카페 #연남동맛집 #연남동데이트 #연남동카페 #shorts #mukbang,https://www.youtube.com/shorts/OAwHss7l3kA,341회,3개월 전,OAwHss7l3kA
169,연남동 비주얼 최강 맛집 #맛집추천 #연남동 #서울맛집 #연어 #연남동맛집 #홍대,https://www.youtube.com/shorts/ILnvUvyMwpY,224회,7개월 전,ILnvUvyMwpY
170,"😍😍연남동 주말오후에는#shorts홍대입구역/연남동/연남동카페/연남동맛집/연남동데이트/연남동핫플레이스/Yeonnam-dong, /Seoul, Korea/City Stroll",https://www.youtube.com/shorts/y-lQ2aZCyEY,620회,1년 전,y-lQ2aZCyEY
171,장국영 ‘패왕별희’ 오마쥬 디너. 연남동 맛집 몽중식에서 특별한 생일파티🎂,https://www.youtube.com/shorts/NokG_LnC8GI,2.2천회,2년 전,NokG_LnC8GI
172,노포의 냄새가난다..연남동 숨은 라멘맛집을 찾았다!!,https://www.youtube.com/shorts/MPnuSgaHYis,795회,1년 전,MPnuSgaHYis
173,연남동 카페 줄서서먹는 디저트 맛집 앤티크커피 #shorts #연남동카페 #앤티크커피 #연남동맛집,https://www.youtube.com/shorts/Ar9CY1JsLC0,2.1천회,1년 전,Ar9CY1JsLC0
174,#연남5701 #연남동 #와인바 #재즈바 #홍대 #연남동맛집 #연남동분위기,https://www.youtube.com/shorts/Tp768V-_cjo,2.7천회,1년 전,Tp768V-_cjo
175,연남동 맛집 발리문 인도네시아 음식 치킨른당 미고랭,https://www.youtube.com/shorts/Fk64tFFYrMo,206회,2개월 전,Fk64tFFYrMo
176,서울 연남동 대승곱창 한우곱창 후기 #연남동맛집,https://www.youtube.com/shorts/_tOb2hcnJ7w,3.5천회,6일 전,_tOb2hcnJ7w
177,초콜릿전문점!💜(#17도씨 #연남동카페 #연남동맛집 #초콜릿디저트),https://www.youtube.com/shorts/AdmvKbIcCUk,889회,1년 전,AdmvKbIcCUk
178,반드시 또갈 연남동 맛집 TOP2 일본 그 자체..🇯🇵,https://www.youtube.com/shorts/ULA4HR_6ZYg,5.2만회,1년 전,ULA4HR_6ZYg
179,입짧은 햇님도 반한 연남동 슈 맛집,https://www.youtube.com/shorts/z8YlnIJus64,3.1천회,9일 전,z8YlnIJus64
180,연남동 고망고의 이색 메뉴! 망고깍밥과 깍두기망고빙수! 고망고는 망고 아이스크ㅜ림이 진짜 맛있는데 색때문에 바닐라아이스크림을 사용해서인지 기대이하였음! 한번 먹어본걸로 만족!,https://www.youtube.com/shorts/_Tci-rcgtmc,8.8천회,8일 전,_Tci-rcgtmc
181,요즘 홍대클럽 근황,https://www.youtube.com/shorts/4sPxkPWWCEo,100만회,1년 전,4sPxkPWWCEo
182,연남동 소라빵 맛집 발견!,https://www.youtube.com/shorts/xGBtqDUOCRU,4.8천회,13일 전,xGBtqDUOCRU
183,연남동 카페의 수다의 기록. 아..여성E들사이는 너무 기빨려. #Yeonnam-dong #Café #Vlog #TimeLabs #연남동 #카페 #브이로그 #타임랩스 #쿠키 #수다,https://www.youtube.com/shorts/a3zFcycJ9Vo,437회,4일 전,a3zFcycJ9Vo
184,"서울 개봉동 최고의 칼국수, 무김치가 시그니처",https://www.youtube.com/shorts/MaG2hxP_O5U,1.6만회,1개월 전,MaG2hxP_O5U
185,국밥충 반박 불가한 미친 구성 등장,https://www.youtube.com/shorts/nUKFd5R_JWg,277만회,8일 전,nUKFd5R_JWg
186,52kg 소식좌가 하루 동안 먹은 것들 9 #shorts #코코로카라,https://www.youtube.com/shorts/iF1HELMm628,2.6만회,1년 전,iF1HELMm628
187,연남 태국음식 맛집 우라프라우드 #태국음식 #연남동맛집 #food,https://www.youtube.com/shorts/l_CFjVf3VBs,없음,1일 전,l_CFjVf3VBs
188,연남동 맛집 막걸리 제작 과정#막걸리#맛집#연남동맛집,https://www.youtube.com/shorts/ez5d0QZqAqk,없음,1시간 전,ez5d0QZqAqk
189,연남동 케이크 카페 ’터틀힙‘ #연남동 #케이크 #연남동맛집,https://www.youtube.com/shorts/P_I4CY-Q_b4,424회,1일 전,P_I4CY-Q_b4
