,title,link,view,upload_date,video_pk
35,미친항정살 여기는 꼭 다시오는집 #항정살맛집 #연남동맛집 #숯불구이 #짜계치 #김치볶음밥 #순두부찌게 #shortvideo #foodshorts #koreafood #food,https://www.youtube.com/shorts/rT7iCdj7vMk,1.7천회,1년 전,rT7iCdj7vMk
36,#연남동맛집 #연맥 #홍대맛집 #연남동데이트 #연남동미슐랭 #연남동중식당 #연남동연맥 #서울맛집 #shorts #영상편집 #광고 #광고영상,https://www.youtube.com/shorts/nK2SqJCmEic,889회,1년 전,nK2SqJCmEic
37,홍대/연남동 맛집 로이소바 #홍대맛집 #연남동데이트 #연남동브이로그 #홍대브이로그 #소바맛집 #봄나들이 #데이트코스추천 #홍대데이트 #맛집소개,https://www.youtube.com/shorts/2bdMBulY4vs,1천회,1년 전,2bdMBulY4vs
38,"#shorts 줄서야만 먹는다는 유명한 연남동 맛집, 솔직리뷰",https://www.youtube.com/shorts/qd82sdsrdp8,2.9천회,1년 전,qd82sdsrdp8
39,#연남동맛집 #함박스테이크 #연남동 #연남다저스,https://www.youtube.com/shorts/HiKADmZYvTU,2.4천회,1년 전,HiKADmZYvTU
40,꼬치집은 여기로 가 연남동 맛집,https://www.youtube.com/shorts/EvPIY73vG-8,588회,2년 전,EvPIY73vG-8
41,#연어롭다 #홍대 #연남동 #연남동맛집 #맛집추천,https://www.youtube.com/shorts/HkRcnXjd07Q,1.4천회,1년 전,HkRcnXjd07Q
42,#연남물갈비 #홍대맛집 #연남동맛집 #서울맛집 #샤브샤브 #밍푸디 #kfood,https://www.youtube.com/shorts/o8DQNehryWE,5.6천회,7일 전,o8DQNehryWE
43,연남동으로 떠나는 맛집 여행 ✈️ #연남동맛집 #연남동 #맛집투어#shorts,https://www.youtube.com/shorts/k9zugPm8hFU,399회,11개월 전,k9zugPm8hFU
44,연남동 맛집,https://www.youtube.com/shorts/isoJFxoWqik,340회,1년 전,isoJFxoWqik
45,맛..☺ #seoul #seoulrestaurant #뚜이연남 #연남동 #연남동맛집,https://www.youtube.com/shorts/QPKYyeIxyD0,105회,1년 전,QPKYyeIxyD0
46,연남동맛집 핫플카페 무지개 카스테라 하우에버 #shorts,https://www.youtube.com/shorts/zij-qkqn1IU,923회,1년 전,zij-qkqn1IU
47,먹을수록 땡기는 양고기 전골 맛집 '서대문양꼬치' |연남동 맛집|수요미식회|먹을텐데,https://www.youtube.com/shorts/e-ws-KQHWnE,729회,1년 전,e-ws-KQHWnE
48,이번 주말엔 연남동 이 루트로 추천!◡( ๑❛ᴗ❛ )◡ 연남동 맛집 가이드📖,https://www.youtube.com/shorts/PLE4PeOh9y0,9.4천회,2개월 전,PLE4PeOh9y0
49,#shorts 오늘뭐먹지? 연남동맛집 멕시칸식당 베르데,https://www.youtube.com/shorts/tY0btoRGQ5c,1.1천회,1년 전,tY0btoRGQ5c
50,연남동맛집투어...👍👍👍,https://www.youtube.com/shorts/pf2acd95c9Y,53회,2년 전,pf2acd95c9Y
51,연남동 맛집,https://www.youtube.com/shorts/B1-pXjDLCUs,204회,1년 전,B1-pXjDLCUs
52,연남동 크로넛 맛집 [ 비비드 도넛 ] 후기 #연남동 #연남동맛집,https://www.youtube.com/shorts/SsFZMf6LZFM,60회,1년 전,SsFZMf6LZFM
53,빵빠레 빠진 라멘 #아이스크림라면 #빵빠레라면 #연남동맛집 #연남동멘 #연남동데이트,https://www.youtube.com/shorts/lquCf2mV3cg,1.3천회,1년 전,lquCf2mV3cg
54,[연남동맛집] 미장플라쎄 분위기 좋은 파스타 맛집,https://www.youtube.com/shorts/eK2cYmlj_DI,424회,1년 전,eK2cYmlj_DI
55,#연남다저스 #연남동맛집 #연남동데이트 #연남동 #연남동양식 #연남동함박 #홍대함박 #홍대맛집 #미국산프라임등급,https://www.youtube.com/shorts/CVXyyQB2Bas,30회,1년 전,CVXyyQB2Bas
56,올더플레이트 뭉게구름 크림파스타 #shorts #연남동맛집 #파스타맛집,https://www.youtube.com/shorts/YJpfcuepPdM,2.2천회,2년 전,YJpfcuepPdM
57,#연남동맛집 #함박스테이크 #저메추 #점메추 #연남동 #카라멜라이징어니언,https://www.youtube.com/shorts/PUkXwY5CrQ0,285회,1년 전,PUkXwY5CrQ0
58,연남동 맛집 야끼니꾸 전문점 '곤로' 다녀왔어요 #shorts,https://www.youtube.com/shorts/JM59LKhLwVA,1.2천회,2년 전,JM59LKhLwVA
59,(연남동맛집)일본 현지 느낌이 가득한 하루 #shorts,https://www.youtube.com/shorts/rd1wpattwpA,371회,2년 전,rd1wpattwpA
60,두껍삼겹🐽 #숲길정육점#연남동맛집#홍대맛집#삼겹살먹방#쇼츠,https://www.youtube.com/shorts/uY3okUd4fOI,1.3천회,1년 전,uY3okUd4fOI
61,연남동 맛집 블루리본이 무려 12개나 있는 “진어참치” 🐟🐠,https://www.youtube.com/shorts/JPSelRyHCig,1.8천회,1년 전,JPSelRyHCig
62,"연남동 맛집, 주막 수제비 2인",https://www.youtube.com/shorts/DV-i28BWy6g,410회,1년 전,DV-i28BWy6g
63,연남동 홍대 파스타맛집!!오파츠로 고고!! 진정 찐맛집!!모든음식이다 맛있어요.연남동 최고의 파스타 디저트 맛집입니다!!,https://www.youtube.com/shorts/QPkgjkOCLaA,42회,11일 전,QPkgjkOCLaA
64,弘大的미미램 양고치 好吃😋 #연남동 맛집,https://www.youtube.com/shorts/EpBmhdzvBKo,1천회,2년 전,EpBmhdzvBKo
65,심심한데 두부조림이나할까#심심한데#연남동돈파스팔레#연남동맛집#돈파스팔레#연남동돈까스맛집#연남동돈가스맛집#연남동파스타맛집#연남동데이트맛집#연남동돈파스#홍대맛집,https://www.youtube.com/shorts/t1Z2AwlWZi4,36회,1개월 전,t1Z2AwlWZi4
66,연남동 파스타바스티 #연남동맛집 #데이트 #와인 #파스타맛집 #스테이크맛집 #파인다이닝 #집사,https://www.youtube.com/shorts/r22WkF5dWOI,1천회,1년 전,r22WkF5dWOI
67,#shorts #오늘뭐먹지 #쇼츠 #연남동맛집,https://www.youtube.com/shorts/PHuPXpgC104,6.9천회,1년 전,PHuPXpgC104
68,연남동 맛집 수제 함박스테이크 전문점 연남다저스,https://www.youtube.com/shorts/146CofZ3jj0,47회,1년 전,146CofZ3jj0
69,연남동 맛집 탐방 연남동멘 #먹방 #연남동맛집 #일본라멘 #koreanfood #shorts,https://www.youtube.com/shorts/JsVSkUKKzsU,656회,1년 전,JsVSkUKKzsU
70,#shorts 오늘뭐먹지? 연남동맛집 '뇽즈' 오므라이스,https://www.youtube.com/shorts/Eqjq2ftut08,232회,1년 전,Eqjq2ftut08
